brand,model,veh_type,purchase_price_eur,det_5yr_tco,ml_pred_5yr_tco
MG,ZS EV,SUV,28495,41218.25,41256.655
Citroën,Ami (quadricycle),MPV,28500,41225.0,41088.625
BYD,Seal,Sedan,29986,43231.1,42031.51
BYD,Atto 3,SUV,29995,43243.25,43542.205
MERCEDES-BENZ,CLA 250 E,F2CLA,30000,44300.0,44080.0
MERCEDES-BENZ,S 580 E,R2S,30000,44300.0,44080.0
MERCEDES-BENZ,CLA 250 E,F2CLA,30000,44300.0,44080.0
MERCEDES-BENZ,CLA 250 E,F2CLA,30000,44300.0,44080.0
MERCEDES-BENZ,S 580 E,R2S,30000,44300.0,44080.0
MERCEDES-BENZ,A 250 E,F2A,30000,44300.0,44080.0
